date,count
2021-01-06,1
2021-01-07,1
2021-01-08,2
2021-01-09,2
2021-01-10,1
2021-01-11,1
2021-01-12,1
2021-01-13,1
2021-01-14,1
2021-01-15,1
2021-01-16,1
2021-01-17,1
2021-01-18,<1
2021-01-19,1
2021-01-20,1
2021-01-21,<1
2021-01-22,<1
2021-01-23,<1
2021-01-24,<1
2021-01-25,<1
2021-01-26,1
2021-01-27,1
2021-01-28,23
2021-01-29,100
2021-01-30,33
2021-01-31,18
2021-02-01,15
2021-02-02,9
2021-02-03,7
2021-02-04,23
2021-02-05,15
2021-02-06,13
2021-02-07,30
2021-02-08,28
2021-02-09,19
2021-02-10,12
2021-02-11,9
2021-02-12,9
2021-02-13,6
2021-02-14,6
2021-02-15,8
2021-02-16,6
2021-02-17,6
2021-02-18,6
2021-02-19,5
2021-02-20,4
2021-02-21,4
2021-02-22,4
2021-02-23,4
2021-02-24,4
2021-02-25,4
2021-02-26,2
2021-02-27,2
2021-02-28,2
2021-03-01,3
2021-03-02,3
2021-03-03,2
2021-03-04,3
2021-03-05,3
2021-03-06,3
2021-03-07,2
2021-03-08,4
2021-03-09,4
2021-03-10,3
2021-03-11,2
2021-03-12,2
2021-03-13,2
2021-03-14,3
2021-03-15,2
2021-03-16,2
2021-03-17,2
2021-03-18,2
2021-03-19,2
2021-03-20,2
2021-03-21,1
2021-03-22,1
2021-03-23,1
2021-03-24,1
2021-03-25,1
2021-03-26,1
2021-03-27,1
2021-03-28,1
2021-03-29,1
2021-03-30,1
2021-03-31,1
2021-04-01,3
2021-04-02,2
2021-04-03,1
