Date,High
1/6/21,18.98
1/7/21,19.450001
1/8/21,18.299999
1/9/21,
1/10/21,
1/11/21,20.65
1/12/21,20.4
1/13/21,38.650002
1/14/21,43.060001
1/15/21,40.75
1/16/21,
1/17/21,
1/18/21,
1/19/21,45.52
1/20/21,41.189999
1/21/21,44.75
1/22/21,76.760002
1/23/21,
1/24/21,
1/25/21,159.179993
1/26/21,150
1/27/21,380
1/28/21,483
1/29/21,413.980011
1/30/21,
1/31/21,
2/1/21,322
2/2/21,158
2/3/21,113.400002
2/4/21,91.5
2/5/21,95
2/6/21,
2/7/21,
2/8/21,72.660004
2/9/21,57
2/10/21,62.830002
2/11/21,55.32
2/12/21,55.240002
2/13/21,
2/14/21,
2/15/21,
2/16/21,53.5
2/17/21,51.189999
2/18/21,48.869999
2/19/21,43.889999
2/20/21,
2/21/21,
2/22/21,48.509998
2/23/21,46.23
2/24/21,91.709999
2/25/21,184.679993
2/26/21,142.899994
2/27/21,
2/28/21,
3/1/21,133.990005
3/2/21,133.199997
3/3/21,127.75
3/4/21,147.869995
3/5/21,151.529999
3/6/21,
3/7/21,
3/8/21,210.869995
3/9/21,249.850006
3/10/21,348.5
3/11/21,281.5
3/12/21,295.5
3/13/21,
3/14/21,
3/15/21,283
3/16/21,220.699997
3/17/21,231.470001
3/18/21,218.880005
3/19/21,227
3/20/21,
3/21/21,
3/22/21,210.360001
3/23/21,201.75
3/24/21,166.970001
3/25/21,187.5
3/26/21,218.929993
3/27/21,
3/28/21,
3/29/21,193.919998
3/30/21,204.300003
3/31/21,199.460007
4/1/21,196.970001
4/2/21,
4/3/21,
