Category: All categories

Day,stocks: (United States)
2021-01-06,23
2021-01-07,25
2021-01-08,27
2021-01-09,21
2021-01-10,18
2021-01-11,24
2021-01-12,28
2021-01-13,27
2021-01-14,29
2021-01-15,28
2021-01-16,17
2021-01-17,15
2021-01-18,16
2021-01-19,23
2021-01-20,25
2021-01-21,24
2021-01-22,24
2021-01-23,18
2021-01-24,16
2021-01-25,28
2021-01-26,33
2021-01-27,63
2021-01-28,100
2021-01-29,93
2021-01-30,51
2021-01-31,39
2021-02-01,52
2021-02-02,49
2021-02-03,47
2021-02-04,44
2021-02-05,39
2021-02-06,29
2021-02-07,24
2021-02-08,37
2021-02-09,44
2021-02-10,44
2021-02-11,47
2021-02-12,37
2021-02-13,24
2021-02-14,19
2021-02-15,20
2021-02-16,29
2021-02-17,29
2021-02-18,28
2021-02-19,26
2021-02-20,20
2021-02-21,17
2021-02-22,26
2021-02-23,26
2021-02-24,25
2021-02-25,28
2021-02-26,24
2021-02-27,15
2021-02-28,14
2021-03-01,20
2021-03-02,23
2021-03-03,21
2021-03-04,23
2021-03-05,22
2021-03-06,14
2021-03-07,13
2021-03-08,21
2021-03-09,21
2021-03-10,22
2021-03-11,23
2021-03-12,22
2021-03-13,14
2021-03-14,12
2021-03-15,20
2021-03-16,19
2021-03-17,20
2021-03-18,19
2021-03-19,17
2021-03-20,12
2021-03-21,11
2021-03-22,16
2021-03-23,16
2021-03-24,17
2021-03-25,16
2021-03-26,17
2021-03-27,10
2021-03-28,9
2021-03-29,15
2021-03-30,16
2021-03-31,17
2021-04-01,15
2021-04-02,11
2021-04-03,8
