date,count
2021-01-06,9
2021-01-07,5
2021-01-08,5
2021-01-09,3
2021-01-10,2
2021-01-11,4
2021-01-12,4
2021-01-13,5
2021-01-14,4
2021-01-15,6
2021-01-16,3
2021-01-17,4
2021-01-18,4
2021-01-19,7
2021-01-20,5
2021-01-21,6
2021-01-22,9
2021-01-23,6
2021-01-24,7
2021-01-25,20
2021-01-26,31
2021-01-27,83
2021-01-28,100
2021-01-29,67
2021-01-30,32
2021-01-31,23
2021-02-01,37
2021-02-02,38
2021-02-03,25
2021-02-04,21
2021-02-05,17
2021-02-06,10
2021-02-07,7
2021-02-08,11
2021-02-09,11
2021-02-10,12
2021-02-11,12
2021-02-12,8
2021-02-13,4
2021-02-14,4
2021-02-15,7
2021-02-16,11
2021-02-17,7
2021-02-18,8
2021-02-19,8
2021-02-20,3
2021-02-21,5
2021-02-22,6
2021-02-23,7
2021-02-24,13
2021-02-25,14
2021-02-26,9
2021-02-27,3
2021-02-28,4
2021-03-01,6
2021-03-02,7
2021-03-03,8
2021-03-04,4
2021-03-05,6
2021-03-06,3
2021-03-07,3
2021-03-08,10
2021-03-09,8
2021-03-10,12
2021-03-11,9
2021-03-12,9
2021-03-13,4
2021-03-14,4
2021-03-15,6
2021-03-16,4
2021-03-17,9
2021-03-18,10
2021-03-19,5
2021-03-20,3
2021-03-21,2
2021-03-22,4
2021-03-23,6
2021-03-24,6
2021-03-25,9
2021-03-26,11
2021-03-27,4
2021-03-28,3
2021-03-29,4
2021-03-30,4
2021-03-31,4
2021-04-01,4
2021-04-02,5
2021-04-03,2
